iata,longitude,latitude,region
LGA/JFK,-73.779317,40.639447,Domestic
AAA,-145.509995,-17.3526,Pacific
AAB,141.048718,-26.69639,Other
AAC,33.836791,31.078565,Other
AAD,46.6375,6.095802,Other
AAE,7.81334,36.826781,Atlantic
AAF,-85.027496,29.727501,Other
AAH,6.186389,50.823055,Other
AAI,-46.884107,-13.025154,Other
AAJ,-55.577907,3.898681,Other
AAK,173.636993,0.185278,Pacific
AAL,9.84993,57.094763,Atlantic
AAM,31.544085,-24.816866,Atlantic
AAN,55.60919952,24.26169968,Atlantic
AAO,-64.470726,9.430225,Other
AAP,117.250128,-0.374478,Pacific
AAQ,37.347301,45.002102,Atlantic
AAR,10.618286,56.303331,Atlantic
AAS,139.310932,-3.882495,Other
AAT,88.085808,47.749886,Pacific
AAU,-172.627888,-13.505132,Other
AAV,124.752431,6.367903,Other
AAX,-46.9604,-19.5632,South
AAY,52.174186,16.193341,Atlantic
AAZ,-91.501999,14.8656,Central
ABA,91.385002,53.740002,Atlantic
ABB,6.665278,6.204167,Atlantic
ABC,-1.86352,38.948502,Atlantic
ABD,48.230075,30.367887,Atlantic
ABE,-75.442797,40.651773,Domestic
ABF,173.041,1.79861,Pacific
ABG,143.183531,-17.608814,Other
ABH,146.582668,-23.652849,Other
ABI,-99.68190002,32.41130066,Domestic
ABJ,-3.92629,5.26139,Atlantic
ABK,44.241339,6.732577,Atlantic
ABL,-157.855339,67.105529,Domestic
ABM,142.455081,-10.946194,Pacific
ABN,-54.050098,5.51272,Other
ABO,-3.234722,5.461944,Other
ABP,141.095173,-6.06462,Other
ABQ,-106.608925,35.039976,Domestic
ABR,-98.42179871,45.44910049,Domestic
ABS,31.609962,22.367657,Atlantic
ABT,41.636153,20.298506,Atlantic
ABU,124.903285,-9.074841,Pacific
ABV,7.26317,9.00679,Atlantic
ABX,146.959148,-36.066758,Pacific
ABY,-84.196215,31.532946,Domestic
ABZ,-2.19778,57.2019,Atlantic
ACA,-99.753113,16.757126,Mexico
ACB,-85.198402,44.988602,Other
ACC,-0.166786,5.6051898,Atlantic
ACD,-77.274106,8.497847,Other
ACE,-13.6052,28.945499,Atlantic
ACF,81.26206,40.434748,Pacific
ACH,9.56077,47.485001,Atlantic
ACI,-2.21472,49.706104,Atlantic
ACJ,80.42848,8.301542,Other
ACK,-70.06020355,41.25310135,Domestic
ACM,-71.75935,-2.143713,Other
ACN,-101.100555,29.333662,Other
ACO,-85.091216,9.693365,Central
ACP,46.12789917,37.34799957,Atlantic
ACR,-72.398011,-0.600854,Other
ACS,90.57511,56.269185,Other
ACT,-97.23049927,31.61129951,Domestic
ACU,-77.994153,9.188481,Other
ACV,-124.109,40.978101,Domestic
ACX,104.960804,25.083423,Pacific
ACY,-74.57720184,39.45759964,Domestic
ACZ,61.5439,31.098301,Atlantic
ADA,35.280399,36.982201,Other
ADB,27.157,38.2924,Atlantic
ADC,145.7447222,-7.137222222,Other
ADD,38.799301,8.97789,Atlantic
ADE,45.028801,12.8295,Atlantic
ADF,38.468899,37.7314,Atlantic
ADG,-84.077983,41.866205,Other
ADH,125.4089966,58.60279846,Other
ADI,14.979322,-22.461875,Other
ADJ,35.9916,31.9727,Other
ADK,-176.642783,51.883564,Domestic
ADL,138.533393,-34.947512,Pacific
ADM,-97.0196342,34.30301,Other
ADO,137.136993,-30.438299,Other
ADP,81.623869,7.336745,Other
ADQ,-152.4940033,57.75,Domestic
ADR,-79.52619934,33.4516983,Other
ADS,-96.83640289,32.96860123,Other
ADT,-96.671988,34.805214,Other
ADU,48.42440033,38.32569885,Atlantic
ADV,26.1186,11.4023,Other
ADW,-76.866997,38.810799,Other
ADX,-2.868862,56.37398,Other
ADY,29.0555,-22.679001,Other
ADZ,-81.7112,12.5836,Central
AEA,173.830287,0.490759,Pacific
AEB,106.959999,23.7206,Pacific
AEE,32.959444,10.053611,Other
AEG,99.430496,1.4001,Other
AEH,20.844299,13.847,Other
AEK,146.193994,-7.350805,Other
AEL,-93.36720276,43.68149948,Other
AEM,137.673568,45.84126,Pacific
AEO,-9.637880325,16.7112999,Other
AEP,-58.4156,-34.5592,South
AEQ,120.15099,43.908407,Other
AER,39.9566,43.449902,Atlantic
AES,6.1197,62.5625,Atlantic
AET,-152.621994,66.551804,Domestic
AEU,55.033001,25.8757,Atlantic
AEX,-92.549797,31.3274,Domestic
AEY,-18.072018,65.656573,Atlantic
AFA,-68.4039,-34.588299,South
AFD,26.881656,-33.555057,Other
AFF,-104.821125,38.972497,Other
AFI,-75.047334,6.895033,Other
AFK,81.644,7.284,Other
AFL,-56.106298,-9.866389,South
AFN,-72.002998,42.805099,Other
AFO,-110.9420013,42.71120071,Other
AFR,148.390701,-9.13867,Other
AFS,64.2332,41.613899,Other
AFT,160.948611,-9.191389,Other
AFW,-97.31947,32.99044,Other
AFY,30.601101,38.726398,Other
AFZ,57.59519958,36.16809845,Other
AGA,-9.412003,30.322478,Atlantic
AGB,10.931667,48.425278,Other
AGC,-79.930199,40.354401,Other
AGD,133.8737,-1.3858,Other
AGE,7.919584,53.782544,Other
AGF,0.59309,44.174171,Other
AGG,144.073841,-4.057077,Other
AGH,12.84710026,56.29610062,Atlantic
AGI,-56.673247,5.841252,Other
AGJ,127.240335,26.592755,Other
AGK,143.8536111,-6.396388889,Other
AGL,149.155556,-9.3375,Other
AGM,-37.618335,65.612296,Atlantic
AGN,-134.56722,57.497097,Domestic
AGO,-93.217002,33.228001,Other
AGP,-4.49911,36.6749,Atlantic
AGR,77.960942,27.157683,Atlantic
AGS,-81.9645,33.3699,Domestic
AGT,-54.839544,-25.457186,South
AGU,-102.318372,21.699589,Mexico
AGV,-69.237869,9.553375,Other
AGW,142.149369,-12.1456,Other
AGX,72.176003,10.8237,Atlantic
AGZ,18.8139,-29.281799,Other
AHA,83.19612,22.98753,Other
AHB,42.656601,18.2404,Atlantic
